"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Superfície_mitjana","Nombre"
2016,"3",3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","m2_construïts",96
2016,"3",3,"Sants-Montjuïc",13,"la Marina de Port","m2_construïts",64.7
2016,"3",3,"Sants-Montjuïc",14,"la Font de la Guatlla","m2_construïts",68.3
2016,"3",3,"Sants-Montjuïc",15,"Hostafrancs","m2_construïts",62.5
2016,"3",3,"Sants-Montjuïc",16,"la Bordeta","m2_construïts",64.8
2016,"3",3,"Sants-Montjuïc",17,"Sants - Badal","m2_construïts",62
2016,"3",3,"Sants-Montjuïc",18,"Sants","m2_construïts",65.4
2016,"3",4,"Les Corts",19,"les Corts","m2_construïts",76.1
2016,"3",4,"Les Corts",20,"la Maternitat i Sant Ramon","m2_construïts",74.5
2016,"3",4,"Les Corts",21,"Pedralbes","m2_construïts",117.5
2016,"3",5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","m2_construïts",80.7
2016,"3",5,"Sarrià-Sant Gervasi",23,"Sarrià","m2_construïts",76.6
2016,"3",5,"Sarrià-Sant Gervasi",24,"les Tres Torres","m2_construïts",108.4
2016,"3",5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","m2_construïts",82.4
2016,"3",5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","m2_construïts",101.5
2016,"3",5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","m2_construïts",69.2
2016,"3",6,"Gràcia",28,"Vallcarca i els Penitents","m2_construïts",70
2016,"3",6,"Gràcia",29,"el Coll","m2_construïts",61.4
2016,"3",6,"Gràcia",30,"la Salut","m2_construïts",72.1
2016,"3",6,"Gràcia",31,"la Vila de Gràcia","m2_construïts",66.1
2016,"3",6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","m2_construïts",66.8
2016,"3",7,"Horta-Guinardó",33,"el Baix Guinardó","m2_construïts",64.8
2016,"3",7,"Horta-Guinardó",34,"Can Baró","m2_construïts",63.6
2016,"3",7,"Horta-Guinardó",35,"el Guinardó","m2_construïts",62.7
2016,"3",7,"Horta-Guinardó",36,"la Font d'en Fargues","m2_construïts",66.9
2016,"3",7,"Horta-Guinardó",37,"el Carmel","m2_construïts",59.7
2016,"3",7,"Horta-Guinardó",38,"la Teixonera","m2_construïts",60
2016,"3",7,"Horta-Guinardó",39,"Sant Genís dels Agudells","m2_construïts",73.1
2016,"3",7,"Horta-Guinardó",40,"Montbau","m2_construïts",64.9
2016,"3",7,"Horta-Guinardó",41,"la Vall d'Hebron","m2_construïts",73.6
2016,"3",7,"Horta-Guinardó",42,"la Clota","m2_construïts",52
2016,"3",7,"Horta-Guinardó",43,"Horta","m2_construïts",61.2
2016,"3",8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","m2_construïts",65.2
2016,"3",8,"Nou Barris",45,"Porta","m2_construïts",58.5
2016,"3",8,"Nou Barris",46,"el Turó de la Peira","m2_construïts",57.6
